# Te	Ce
# K	J/(m^3K)
400	28870.0781323461
500	44726.9802604827
600	58153.3492560147
700	71425.5511522561
800	84915.2261995985
900	98472.4983432034
1000	112814.570662688
1100	129664.212201184
1200	145637.453265914
1300	161378.860917525
1400	175439.453339364
1500	193515.375835299
1600	207440.404827528
1700	219877.877928875
1800	231324.835980969
1900	246862.698829527
2000	258587.501231557
2100	271244.930952452
2200	279521.787465806
2300	290072.641042238
2400	301161.775003772
2500	309930.034274516
2600	318447.466492352
2700	326561.295319566
2800	334036.887724157
2900	341881.869057109
3000	348591.427433183
3100	354866.352212477
3200	361736.34412276
3300	367953.427120602
3400	373316.231982525
3500	378820.563096751
3600	384044.582161696
3700	388906.862339102
3800	394539.7577791
3900	398692.017518782
4000	404018.022369672
4100	409459.579481143
4200	413695.043536588
4300	419206.143110976
4400	423589.472791676
4500	428845.552204915
4600	433194.977501325
4700	438555.404712678
4800	443280.962195726
4900	448359.471316175
5000	453329.910978357
5100	459254.351242368
5200	463742.422194552
5300	470299.929480491
5400	475357.759009239
5500	481652.34479262
5600	488588.366217265
5700	494503.827843568
5800	502158.059080251
5900	508745.968299123
6000	516341.060639289
6100	522989.227275696
6200	531958.872490188
6300	539667.679834717
6400	547997.766925321
6500	556813.471908194
6600	565157.53190042
6700	573372.637335261
6800	582163.574087858
6900	592226.522984805
7000	602413.696984656
7100	611007.81632309
7200	623892.986912257
7300	634907.622632536
7400	645204.745344925
7500	656642.925665513
7600	668461.477364206
7700	680952.554791403
7800	692275.971110195
7900	704237.30243843
8000	718229.850581234
8100	731079.208110241
8200	742481.793426997
8300	757538.449798082
8400	770447.410026604
8500	786292.009929084
8600	799696.173360759
8700	814336.548152996
8800	832129.108079178
8900	847972.454644828
9000	863427.954636725
9100	879940.032829958
9200	897537.709711568
9300	911816.444731827
9400	933729.812965888
9500	953564.512090779
9600	971981.746250733
9700	993799.390350422
9800	1014209.32992962
9900	1033814.31035551
10000	1055367.00637956
10100	1075900.22107216
10200	1094801.10195671
10300	1117591.04224223
10400	1140280.5901978
10500	1159104.95550466
10600	1181284.56694341
10700	1205435.17986945
10800	1228864.33324811
10900	1251329.22073319
11000	1273733.17357644
11100	1295959.52279479
11200	1317855.74713348
11300	1341338.70917804
11400	1362470.10245675
11500	1387114.64989129
11600	1410883.72608687
11700	1433991.85125179
11800	1460023.51217183
11900	1485251.49476383
12000	1509223.2981853
12100	1535701.85345976
12200	1560894.39447978
12300	1585418.22496099
12400	1612155.36990392
12500	1637839.90661696
12600	1660402.35165138
12700	1690188.75460651
12800	1716515.9363146
12900	1742074.55219338
13000	1764935.06225868
13100	1794420.56855258
13200	1819849.22672994
13300	1843133.66993879
13400	1870689.15811256
13500	1895333.4530507
13600	1918981.0529706
13700	1943682.03208604
13800	1966906.27125296
13900	1990884.29231753
14000	2014230.32155971
14100	2037576.35080189
14200	2058336.60579556
14300	2084194.60413842
14400	2106110.80701154
14500	2132185.53754619
14600	2154523.58639866
14700	2177218.59595067
14800	2203792.74717599
14900	2227329.90826292
15000	2250284.78191283
15100	2274380.87761466
15200	2297811.33734819
15300	2320593.12337347
15400	2341197.6693759
15500	2362557.44255022
15600	2384156.45487634
15700	2403101.61177625
15800	2425321.03740499
15900	2443102.81415335
16000	2464523.85629442
16100	2482223.27491996
16200	2500022.69066255
16300	2517878.81449455
16400	2535250.812243
16500	2552480.53323832
16600	2563401.97381522
16700	2581266.85782986
16800	2591372.74444867
16900	2603799.14764753
17000	2614205.46003062
17100	2625712.81452028
17200	2634039.14548503
17300	2638939.4121431
17400	2646240.88918486
17500	2652389.57179235
17600	2659156.76512944
17700	2663406.7191143
17800	2667004.86335388
17900	2670618.03357784
18000	2674333.31902724
18100	2677681.09247945
18200	2675282.00819264
18300	2674960.39173928
18400	2669941.29050605
18500	2668163.07873595
18600	2666216.17237241
18700	2663329.93925635
18800	2660422.54061276
18900	2646051.86397097
19000	2636892.90458278
19100	2632642.73147942
19200	2613226.69253521
19300	2602827.33963964
19400	2581290.14862321
19500	2560075.11876693
19600	2543380.36109894
19700	2544400.94184752
19800	2504345.50167197
19900	2472680.8530493
20000	2467403.08392523
20100	2465413.14958572
20200	2464132.20421955
20300	2462882.08568394
20400	2460988.38449868
20500	2459950.3431839
20600	2448526.34860988
20700	2440825.43573056
20800	2432220.54269659
20900	2424704.65250086
21000	2411481.75324235
21100	2394971.66329724
21200	2382530.35445471
21300	2367871.91846953
21400	2355519.45328245
21500	2338054.17823515
21600	2322415.89634166
21700	2306592.45740127
21800	2290003.58632062
21900	2268004.72126111
22000	2235728.60949862
22100	2208515.44330211
22200	2181302.27710559
22300	2160012.80659241
22400	2123029.97605235
22500	2093694.09879388
22600	2072653.36386871
22700	2033555.90616922
22800	1988813.69365826
22900	1956722.07082411
23000	1920957.73044917
23100	1887160.33984137
23200	1832034.91781048
23300	1790622.09873999
23400	1755994.08906998
23500	1739083.77388386
23600	1731463.93944677
23700	1724602.74959543
23800	1713669.12247053
23900	1704527.65403277
24000	1695386.18559501
24100	1686244.71715725
24200	1678911.32208949
24300	1672569.4014932
24400	1656324.93464401
24500	1645489.9234777
24600	1635494.85650653
24700	1619758.40369941
24800	1605842.60732462
24900	1593726.59895846
25000	1578751.42275149
25100	1565241.84199793
25200	1551732.26124437
25300	1538222.68049081
25400	1526169.11895316
25500	1512799.56576759
25600	1483527.60526142
25700	1462644.16421108
25800	1441760.72316074
25900	1420877.28211041
26000	1404113.43603396
