# Te	Ce
# K	J/(m^2K)
400	1.06424152664973E-7
500	1.43738177740633E-7
600	1.81052202816293E-7
700	2.18366227891953E-7
800	2.53392871388658E-7
900	3.18404451542762E-7
1000	3.85520726519906E-7
1100	4.46275970521295E-7
1200	5.07031214522684E-7
1300	5.67786458524074E-7
1400	6.28541702525463E-7
1500	6.89296946526852E-7
1600	7.50052190528241E-7
1700	8.1080743452963E-7
1800	8.67208330526798E-7
1900	9.27299257144211E-7
2000	1.00192393902391E-6
2100	1.08076528598793E-6
2200	1.15432210096704E-6
2300	1.22108808256852E-6
2400	1.29736957174128E-6
2500	1.36805479374579E-6
2600	1.43874001575029E-6
2700	1.5094252377548E-6
2800	1.5801104597593E-6
2900	1.64585139791799E-6
3000	1.71738539482288E-6
3100	1.78446439274951E-6
3200	1.84620680028355E-6
3300	1.91175367263442E-6
3400	1.98164506309623E-6
3500	2.04266878189091E-6
3600	2.1092923088673E-6
3700	2.16760400901954E-6
3800	2.23459699510897E-6
3900	2.29278003477084E-6
4000	2.35603944694054E-6
4100	2.42001635300328E-6
4200	2.47365312715616E-6
4300	2.53701954607142E-6
4400	2.60114257940773E-6
4500	2.66130704741869E-6
4600	2.7169641215769E-6
4700	2.77871021048695E-6
4800	2.84094183925308E-6
4900	2.89209168598798E-6
5000	2.95805850364113E-6
5100	3.02272142087951E-6
5200	3.07998958092411E-6
5300	3.1479333430786E-6
5400	3.20601438195939E-6
5500	3.26544924759164E-6
5600	3.33560111882585E-6
5700	3.40907808124406E-6
5800	3.47759127007531E-6
5900	3.54341568379546E-6
6000	3.61355815160059E-6
6100	3.68174953554503E-6
6200	3.74994091948947E-6
6300	3.81813230343392E-6
6400	3.88027017150512E-6
6500	3.95655019801616E-6
6600	4.02176421442118E-6
6700	4.09369626110135E-6
6800	4.16876809493899E-6
6900	4.25029729320879E-6
7000	4.32186577371559E-6
7100	4.39649097410121E-6
7200	4.47711487886721E-6
7300	4.55407408306621E-6
7400	4.6307049037261E-6
7500	4.70756986625367E-6
7600	4.78536395071213E-6
7700	4.84858502354838E-6
7800	4.95070212645063E-6
7900	5.03420382225193E-6
8000	5.11630908775988E-6
8100	5.20612034771909E-6
8200	5.28782978449686E-6
8300	5.38588821997799E-6
8400	5.47596568311867E-6
8500	5.56604314625936E-6
8600	5.64873835232539E-6
8700	5.74996154440773E-6
8800	5.84278281696026E-6
8900	5.94129713731601E-6
9000	6.03599481291937E-6
9100	6.12405338850157E-6
9200	6.21348361404227E-6
9300	6.32651198592801E-6
9400	6.42609716309891E-6
9500	6.51751387890177E-6
9600	6.62874143388194E-6
9700	6.72781694657003E-6
9800	6.84055050953229E-6
9900	6.93488585186051E-6
10000	7.06744671386837E-6
10100	7.18632647460184E-6
10200	7.30407678216118E-6
10300	7.41551516988095E-6
10400	7.5438035765371E-6
10500	7.66398466340622E-6
10600	7.78416575027533E-6
10700	7.89555914818955E-6
10800	8.00867598857138E-6
10900	8.15691558357248E-6
11000	8.27384586402045E-6
11100	8.40967475437808E-6
11200	8.53605574451843E-6
11300	8.66185421063584E-6
11400	8.79692303981354E-6
11500	8.91437296019474E-6
11600	9.06725435948333E-6
11700	9.20371013316653E-6
11800	9.34016590684973E-6
11900	9.47662168053293E-6
12000	9.60706786767668E-6
12100	9.74765878125311E-6
12200	9.86357955133391E-6
12300	1.00200213266364E-5
12400	1.01767354418948E-5
12500	1.03116716789628E-5
12600	1.04652114328281E-5
12700	1.05998474648426E-5
12800	1.07479299348158E-5
12900	1.09038569172918E-5
13000	1.10470190797207E-5
13100	1.11873542056416E-5
13200	1.1354329954099E-5
13300	1.15038430688215E-5
13400	1.16650831641075E-5
13500	1.18257255754616E-5
13600	1.19849328579995E-5
13700	1.21437929892656E-5
13800	1.22934656318501E-5
13900	1.2461912736244E-5
14000	1.26142464014095E-5
14100	1.27784033532555E-5
14200	1.29642424632543E-5
14300	1.31294639070566E-5
14400	1.33106019711333E-5
14500	1.34847277624145E-5
14600	1.36474533694517E-5
14700	1.38317777073356E-5
14800	1.39916492998953E-5
14900	1.41735807598967E-5
15000	1.43754134239438E-5
15100	1.45575105015496E-5
15200	1.47428709765092E-5
15300	1.49259909816654E-5
15400	1.50792982609334E-5
15500	1.53010630667686E-5
15600	1.54892514915833E-5
15700	1.56774399163981E-5
15800	1.58656283412128E-5
15900	1.6039540083493E-5
16000	1.6249510448612E-5
16100	1.64659972159113E-5
16200	1.6670340769298E-5
16300	1.68746843226847E-5
16400	1.70787208095863E-5
16500	1.72895855373463E-5
16600	1.74845126781334E-5
16700	1.77173726880024E-5
16800	1.79551722586394E-5
16900	1.81768555873706E-5
17000	1.83846442050355E-5
17100	1.86026495951927E-5
17200	1.88247285925136E-5
17300	1.90502989971344E-5
17400	1.92662698392688E-5
17500	1.94822406814033E-5
17600	1.96860110716012E-5
17700	1.98866264046944E-5
17800	2.01145946698088E-5
17900	2.03511170824269E-5
18000	2.05597092544209E-5
18100	2.07931167141939E-5
18200	2.10142082240967E-5
18300	2.12058621008517E-5
18400	2.14638328883287E-5
18500	2.16772090644231E-5
18600	2.1893186057979E-5
18700	2.21462041699466E-5
18800	2.23755702150476E-5
18900	2.25966003072846E-5
19000	2.28381149773001E-5
19100	2.30700929482614E-5
19200	2.32738120157621E-5
19300	2.35205146117126E-5
19400	2.37514867187264E-5
19500	2.39892982186045E-5
19600	2.42182231463069E-5
19700	2.44359370025279E-5
19800	2.46813123035652E-5
19900	2.49134232314519E-5
20000	2.5134524421555E-5
20100	2.53343686810183E-5
20200	2.55759991344273E-5
20300	2.57739575668394E-5
20400	2.60030964915967E-5
20500	2.62301802956624E-5
20600	2.64637670966843E-5
20700	2.66889006751056E-5
20800	2.69033775065744E-5
20900	2.71148863152642E-5
21000	2.73315432829559E-5
21100	2.75401242872323E-5
21200	2.77357537911237E-5
21300	2.79426586301593E-5
21400	2.81432483948145E-5
21500	2.83337080497715E-5
21600	2.8494382502356E-5
21700	2.86961784566412E-5
21800	2.88702781779965E-5
21900	2.90620327491147E-5
22000	2.924698374515E-5
22100	2.94319347411854E-5
22200	2.96128411340456E-5
22300	2.98132113554196E-5
22400	3.00306748942871E-5
22500	3.02496458897924E-5
22600	3.04840793499683E-5
22700	3.07024951984506E-5
22800	3.09269987588387E-5
22900	3.11316932766576E-5
23000	3.13791855469992E-5
23100	3.15873616220639E-5
23200	3.18147349118801E-5
23300	3.16343430111059E-5
23400	3.15433203662658E-5
23500	3.14430609872258E-5
23600	3.14190461289128E-5
23700	3.14935885707077E-5
23800	3.29724214075587E-5
23900	3.33344780717409E-5
24000	3.31027962640541E-5
24100	3.1373641792414E-5
24200	3.08259519247627E-5
24300	3.01445862312778E-5
24400	2.84157007212329E-5
24500	2.91549755015753E-5
24600	3.02587669271213E-5
24700	2.92881457448049E-5
24800	2.90918625001343E-5
24900	2.92073947953738E-5
25000	3.02393518734166E-5
