# Te	Ce
# K	J/(m^3K)
600	46637.0846272344
700	54783.6558526547
800	62930.2270780751
900	71076.7983034954
1000	79223.3695289158
1100	87369.9407543362
1200	94141.3624099977
1300	102974.381031778
1400	110671.811656658
1500	117535.214045114
1600	125141.461252563
1700	131616.796884239
1800	138507.00917941
1900	145335.019617611
2000	150930.94242561
2100	157524.962390345
2200	162727.844525983
2300	169552.424409447
2400	174391.606412289
2500	181337.082884734
2600	186601.582955995
2700	192696.553206746
2800	198746.492704035
2900	204593.324867729
3000	210162.487765606
3100	215591.826759105
3200	222276.764201068
3300	226364.13918772
3400	234211.681261459
3500	239758.638462672
3600	245650.853789013
3700	252271.39078232
3800	257852.613366734
3900	263407.098416715
4000	270561.635276884
4100	276371.797543513
4200	281727.388263258
4300	289174.503959659
4400	295418.168427594
4500	300245.445860155
4600	308097.779499469
4700	314339.102604627
4800	320440.61909339
4900	327076.209300235
5000	333684.629214412
5100	340099.94733461
5200	345255.33019978
5300	352390.042008488
5400	359374.730561224
5500	365429.016033022
5600	372253.060436641
5700	378177.062726505
5800	384543.857324076
5900	391584.42748138
6000	397144.023965015
6100	403933.66756188
6200	410365.463070439
6300	417350.888073468
6400	423346.307489842
6500	429718.925297225
6600	436653.137552097
6700	442339.991114852
6800	449216.517501694
6900	455704.802588376
7000	462288.579020221
7100	468283.428459818
7200	475064.074837991
7300	480975.292349524
7400	487796.126361533
7500	494041.126459959
7600	500493.212964675
7700	506423.406364402
7800	512932.135875631
7900	518629.073605491
8000	525759.750402168
8100	532059.269877931
8200	537471.35168988
8300	544634.767352295
8400	550462.165420624
8500	556949.520119625
8600	563424.333404318
8700	569660.15334012
8800	575542.413119555
8900	582127.150059837
9000	588349.650756209
9100	593621.731060343
9200	600728.38516265
9300	606330.174679372
9400	613103.945466588
9500	619153.355823517
9600	625430.503206193
9700	631457.642897452
9800	636994.908691284
9900	643775.184887742
10000	649786.867852868
10100	655953.91786932
10200	660873.681183565
10300	667564.723159557
10400	674113.943417169
10500	679791.127780332
10600	685865.375563838
10700	692170.283625732
10800	698279.286231873
10900	704330.88585098
11000	710181.014940578
11100	715591.057145567
11200	722446.148722261
11300	728460.331712198
11400	734474.514702136
11500	739951.875213039
11600	746532.81788861
11700	752567.017441866
11800	758306.792488846
11900	764367.912518003
12000	770296.192755078
12100	776459.757151341
12200	782347.243714497
12300	787776.651540591
12400	794143.864759099
12500	798630.173299788
12600	805826.291222146
12700	811667.316231139
12800	817042.505415607
12900	822825.463951726
13000	828536.570687572
13100	834673.337941107
13200	840426.344559538
13300	846179.351177968
13400	851487.594233214
13500	857779.139691808
13600	862987.063129942
13700	869312.95954136
13800	875049.552078599
13900	880353.560679156
14000	886324.610877535
14100	892043.163652048
14200	898112.819547222
14300	903820.610063397
14400	909083.937615937
14500	914701.551616687
14600	920606.046531962
14700	926179.263378096
14800	931752.480224229
14900	936407.642199299
15000	942732.612492196
15100	947850.174516911
15200	953460.963962045
15300	958124.240658037
