# Te	Ce
# K	J/(m^3K)
600	225814.145226971
700	438125.742692832
800	564184.659475644
900	655890.897578935
1000	703197.720036349
1100	742322.095943137
1200	777614.483334734
1300	808207.319256569
1400	833266.854987403
1500	857528.1041075
1600	878822.547861394
1700	897449.823104454
1800	915100.505271465
1900	928089.085482224
2000	943697.894060062
2100	959714.975040262
2200	974056.240745339
2300	988911.895137975
2400	1004010.91804953
2500	1019051.45792867
2600	1036411.21656592
2700	1052669.44816952
2800	1068864.96201928
2900	1087927.42599171
3000	1108979.00971538
3100	1124871.01436482
3200	1143750.73300559
3300	1169217.34006827
3400	1191092.64186098
3500	1217310.88507614
3600	1234027.94890051
3700	1260214.81189439
3800	1282303.79274852
3900	1305347.10717977
4000	1335942.56046663
4100	1353841.6633999
4200	1380021.11993066
4300	1403766.09347025
4400	1432299.40995928
4500	1457281.80153002
4600	1478536.73902028
4700	1506184.99575042
4800	1533630.65174398
4900	1562463.35816944
5000	1583121.68019256
5100	1609726.16179794
5200	1628743.15732071
5300	1653733.12059056
5400	1675613.18934606
5500	1698983.79779785
5600	1724244.04331565
5700	1744484.06955964
5800	1767032.90915154
5900	1786858.47191546
6000	1808737.89242829
6100	1831203.88333857
6200	1853978.62202148
6300	1871479.17463156
6400	1892162.39513812
6500	1912884.64972424
6600	1933574.64762487
6700	1951657.17526416
6800	1967269.50596506
6900	1990068.84377086
7000	2006630.81921682
7100	2024453.13832142
7200	2045770.83353306
7300	2054694.31625698
7400	2080263.69672238
7500	2093121.09079179
7600	2109691.25773182
7700	2128046.92074887
7800	2141952.55364636
7900	2162821.003121
8000	2170838.84149334
8100	2193088.54581872
8200	2206300.25180218
8300	2222834.95463106
8400	2238038.65048495
8500	2253090.90018297
8600	2270747.79445394
8700	2280730.56862341
8800	2300348.30777188
8900	2312797.01314616
9000	2329884.51749073
9100	2341340.33871554
9200	2357940.79847535
9300	2371865.73396968
9400	2388689.98737199
9500	2399823.90800298
9600	2416948.34481146
9700	2429249.62116205
9800	2444018.802986
9900	2457461.10869031
10000	2473114.58211932
10100	2487908.85796467
10200	2499950.08626915
10300	2513628.1736492
10400	2531038.92184636
10500	2543858.12922889
10600	2558634.34069774
10700	2572740.7346315
10800	2583927.58736181
10900	2601140.10866944
11000	2616455.99914326
11100	2627942.2578195
11200	2643860.54958629
11300	2654484.90162455
11400	2671470.78846579
11500	2685394.12955669
11600	2699804.19347306
11700	2712673.36052161
11800	2726293.45049616
11900	2741373.48205661
12000	2755314.71299127
12100	2769142.8656394
12200	2783541.86818288
12300	2796355.76921254
12400	2814284.42556357
12500	2820657.84769372
12600	2841649.8171328
12700	2853475.44244321
12800	2867486.03345654
12900	2883421.39370533
13000	2896844.07408853
13100	2910412.65987182
13200	2925876.60630814
13300	2938825.58490712
13400	2954941.57540205
13500	2966776.9172763
13600	2982117.28286668
13700	2996394.80696199
13800	3011911.70871766
13900	3025088.06680617
14000	3039650.40433189
14100	3054880.23236709
14200	3068845.59535139
14300	3081515.32930559
14400	3096803.65089264
14500	3110146.18648882
14600	3126003.90364818
14700	3141201.07971971
14800	3149752.03082936
14900	3168125.92013152
15000	3182458.48413652
15100	3197994.25441818
15200	3211023.07840012
15300	3225856.15581983
15400	3240615.54050273
15500	3254406.24168395
15600	3269448.64885449
15700	3283404.01578006
15800	3297494.13351208
15900	3310269.24614282
16000	3326611.19396156
16100	3342494.50302251
16200	3353806.7589303
16300	3372633.12384517
16400	3382681.02754244
16500	3399074.44607171
16600	3413495.34238312
16700	3426433.62759295
16800	3443434.85813061
16900	3454526.98808104
17000	3469594.81461834
17100	3485709.71182292
17200	3498984.63010467
17300	3513503.91434664
17400	3528570.85619954
17500	3542460.50841473
17600	3555655.57862514
17700	3569507.9326327
17800	3584618.9504763
17900	3598281.21417348
18000	3614016.14394258
18100	3625104.78955947
18200	3642354.20188383
18300	3655808.23228527
18400	3669805.09958425
18500	3686358.07023859
18600	3695934.0500738
18700	3714470.28659469
18800	3723121.87162214
18900	3741110.94389199
19000	3754701.86074267
19100	3768859.18515917
19200	3781326.50901895
19300	3795895.54571673
19400	3813609.44723277
19500	3822349.67773425
19600	3837980.44339004
19700	3854543.89365199
19800	3864103.32886693
19900	3877384.68029319
20000	3895094.06650583
20100	3905697.92463143
20200	3920052.75097736
20300	3934108.13105106
20400	3947937.24211732
20500	3961020.79817777
20600	3972910.39418039
20700	3987814.01541181
20800	4000076.16619195
20900	4015680.84119521
21000	4030538.00444529
21100	4040143.0342908
21200	4054030.7101986
21300	4067953.15773389
21400	4078702.21955941
21500	4094226.13227886
21600	4108868.6254417
21700	4119928.21208793
21800	4135184.57415943
21900	4145015.24127852
22000	4159812.08636376
22100	4171657.99852198
22200	4186328.03408942
22300	4197950.2276361
22400	4211118.88002114
22500	4223549.70060227
