#Te	Ce
#K	J/(m^3K)
700	21529.9739175608
800	24936.6291860429
900	28343.2844545249
1000	31749.939723007
1100	35156.5949914891
1200	38563.2502599712
1300	41969.9055284533
1400	45376.5607969354
1500	48783.2160654175
1600	52189.8713338996
1700	55596.5266023817
1800	58746.24891453
1900	63495.3662861167
2000	67316.8533292546
2100	73474.4906357016
2200	79758.4224906479
2300	85217.4754246066
2400	93646.1700047938
2500	108942.287911696
2600	123462.044027046
2700	133231.001349613
2800	144103.111153391
2900	156388.153985791
3000	168453.589241016
3100	179841.90357109
3200	194988.92738548
3300	207622.059595097
3400	219134.444787486
3500	232214.557218655
3600	246582.575396988
3700	257630.693049882
3800	272369.240058462
3900	285762.687022607
4000	297593.422376864
4100	310681.84100212
4200	322205.855052204
4300	333121.784888181
4400	345331.901793513
4500	355704.249282305
4600	368227.420090707
4700	377427.987810923
4800	387841.848346681
4900	399083.815511555
5000	409115.353227547
5100	419596.007139265
5200	427495.900086253
5300	437554.537958691
5400	447767.947827951
5500	456017.397456134
5600	465426.376504129
5700	472919.587205053
5800	481587.76930656
5900	490591.857874223
6000	497899.444467235
6100	506542.654536797
6200	514057.591781454
6300	522209.583549237
6400	529195.120670631
6500	537218.0436882
6600	544605.872364008
6700	551212.148164303
6800	557610.722365516
6900	565931.471303299
7000	572727.278850796
7100	579009.868913079
7200	586457.873577972
7300	592655.113941973
7400	599502.658241741
7500	605462.843978863
7600	613375.908072578
7700	619432.231601368
7800	626041.410333623
7900	633103.44088619
8000	639195.448394656
8100	645970.005889825
8200	652040.39889238
8300	657424.389024643
8400	664879.475774142
8500	671127.400025972
8600	677337.869530208
8700	683679.942008087
8800	690071.789084378
8900	696724.095768737
9000	702830.721069866
9100	709415.233799363
9200	715530.375054086
9300	721129.195865014
9400	727984.489114021
9500	734224.847792244
9600	739622.753087999
9700	746718.325871357
9800	752957.256513797
9900	758724.661589974
10000	764884.654452161
10100	771876.297112627
10200	777849.479552706
10300	784598.463835219
10400	790003.868483077
10500	797739.649971018
10600	804342.794439693
10700	810429.108350894
10800	816872.621533902
10900	823707.461639784
11000	830112.207538464
11100	836860.561573606
11200	842980.249977378
11300	849471.225231549
11400	856812.292276303
11500	863553.956063865
11600	869612.988338161
11700	877373.635665064
11800	884052.154568005
11900	892160.26153276
12000	899495.25383424
12100	907221.405977305
12200	913911.690061978
12300	922677.907778307
12400	930408.3842444
12500	937920.949621989
12600	945983.231027375
12700	953444.882972088
12800	961123.768474385
12900	968653.603559943
13000	977522.363421877
13100	985432.83418236
13200	992506.322958906
13300	1001769.5136964
13400	1009953.978611
13500	1018138.44352561
13600	1025886.06547192
13700	1034781.53028793
13800	1042064.95307717
13900	1052042.15290881
14000	1061229.69525467
14100	1069881.56515732
14200	1077809.24389734
14300	1087431.48850557
14400	1098102.62059824
14500	1107376.26326556
14600	1116622.05046325
14700	1125781.39183831
14800	1134971.78583174
14900	1143502.96841461
15000	1152827.7882027
15100	1161454.31035655
15200	1170824.3119616
15300	1179078.07429299
15400	1188869.78410165
15500	1196704.67482472
15600	1208034.07502827
15700	1217463.38526254
15800	1226962.82718703
15900	1236455.02265678
16000	1245582.15291077
16100	1255421.28200988
16200	1264191.62738466
16300	1273154.81521606
16400	1281522.4328597
16500	1289647.1494717
16600	1299975.8211762
16700	1308949.90139369
16800	1316873.34965905
16900	1325448.60061275
17000	1334979.19508176
17100	1343498.34794221
17200	1352456.04861771
17300	1360820.00588683
17400	1369183.96315595
17500	1376862.0721867
17600	1385609.08239389
17700	1393766.98266568
17800	1402019.87706938
17900	1409826.98917016
18000	1417687.13244063
18100	1424880.08405184
18200	1432130.35054451
18300	1438603.75018802
18400	1445953.77705139
18500	1452936.69887818
18600	1459971.04077996
18700	1465192.81474073
18800	1472379.97678621
18900	1478404.72106479
19000	1484055.58369612
19100	1489503.12375668
19200	1494842.52811869
19300	1499904.4749957
19400	1504214.06838972
19500	1509696.21439819
19600	1514114.08120945
19700	1518791.01524521
19800	1523227.50277635
19900	1527777.50948555
20000	1531491.08528527
20100	1534354.02673927
20200	1537821.27590054
20300	1541809.42625364
20400	1545579.73478211
20500	1548516.31401721
20600	1550658.59053886
20700	1552971.45008134
20800	1554650.80507447
20900	1558087.64726943
21000	1559614.04329923
21100	1561563.01480968
21200	1560936.30529491
21300	1561086.63453329
21400	1561626.8748173
21500	1561819.35971867
21600	1562742.23899307
21700	1560708.00304665
21800	1559878.16203943
21900	1559328.94659625
22000	1558082.18809574
22100	1555697.13472248
22200	1553007.17796183
22300	1549087.26849417
22400	1544620.04659727
22500	1541027.14540806
22600	1533800.08763332
22700	1523357.27755096
22800	1515358.19527503
22900	1506649.4245947
23000	1497058.95309029
23100	1486968.5057827
23200	1473998.38402039
23300	1467185.44494078
23400	1449059.35965231
23500	1436427.34944928
23600	1430532.3741529
23700	1422051.72466467
23800	1416421.32027344
23900	1411182.80503993
24000	1406773.24050691
24100	1403616.04056398
24200	1396387.91918974
24300	1391181.76596597
24400	1386189.63619696
24500	1379994.38646807
24600	1370273.59896886
24700	1364519.49719323
24800	1353510.36741202
24900	1346674.64678908
25000	1340004.98041101
