# Te	Ce
# K	J/(m^3K)
500	16624.1044637554
600	20873.897507569
700	25123.6905513827
800	29373.4835951964
900	33623.27663901
1000	37873.0696828237
1100	42122.8627266373
1200	46372.655770451
1300	50622.4488142647
1400	54872.2418580783
1500	59122.034901892
1600	63371.8279457056
1700	67621.6209895193
1800	71871.4140333329
1900	76121.2070771466
2000	80371.0001209603
2100	84455.029476336
2200	89160.1051806583
2300	94123.5362361258
2400	98784.0015420436
2500	104088.187437221
2600	109152.054245107
2700	114088.978195731
2800	119381.083380977
2900	125005.451766083
3000	130738.147842104
3100	137868.047218751
3200	144178.208838093
3300	151472.922687709
3400	158169.846364434
3500	166006.13937787
3600	174412.920221547
3700	182599.292051268
3800	190310.418536291
3900	199344.096094896
4000	206886.719676184
4100	217419.456194669
4200	227192.801016654
4300	236183.583848828
4400	246675.328592665
4500	257788.042378422
4600	267756.814324251
4700	278532.975758758
4800	290809.646936308
4900	300929.314660557
5000	314580.909098251
5100	326814.498080622
5200	342259.790773834
5300	355217.478676707
5400	369292.327324035
5500	384695.612581007
5600	397864.92498786
5700	412835.598014952
5800	428858.528976665
5900	443255.240406579
6000	456385.994500438
6100	475023.086041112
6200	490699.052175362
6300	501717.154959339
6400	523113.29876114
6500	538240.792241694
6600	556000.065537738
6700	571188.380039618
6800	589206.668508333
6900	602257.009595665
7000	622701.40068741
7100	639473.842549406
7200	654310.601415995
7300	672673.093928997
7400	688440.708408776
7500	706707.060786485
7600	721760.729732039
7700	740463.552736342
7800	754590.841664149
7900	773715.338124829
8000	789552.650659346
8100	807044.691921622
8200	822304.185573793
8300	839824.555499118
8400	856814.717774629
8500	872255.922330986
8600	889562.135843395
8700	902585.049480103
8800	921812.676924339
8900	937874.805406423
9000	952225.834552997
9100	968567.467965849
9200	985058.314652419
9300	1000627.16806428
9400	1013986.9115119
9500	1030916.03984037
9600	1046454.81555575
9700	1060170.86323377
9800	1075658.72475368
9900	1089853.6599512
10000	1105890.58450153
10100	1118103.03058652
10200	1134452.10760772
10300	1149174.25870269
10400	1163068.74186019
10500	1177611.34476581
10600	1190676.65513193
10700	1204361.01954186
10800	1219107.84916809
10900	1232864.06000962
11000	1244812.61420273
11100	1259819.33855499
11200	1272779.03116894
11300	1285601.35929933
11400	1298619.29028926
11500	1312348.4103306
11600	1324792.06609152
11700	1335877.74763669
11800	1350690.83044617
11900	1363306.49730025
12000	1374473.56084497
12100	1388106.99692724
12200	1400242.39088299
12300	1412665.05393704
12400	1423804.4755031
12500	1436738.20481507
12600	1448728.15950137
12700	1459448.75258842
12800	1470243.2483961
12900	1483765.58864814
13000	1494905.74912576
13100	1506151.34141642
13200	1516675.54680886
13300	1529310.41085867
13400	1540591.14149595
13500	1551511.3243991
13600	1562900.10918431
13700	1574123.71420634
13800	1585216.30135292
13900	1594623.61045273
14000	1606179.30053842
14100	1617855.5093294
14200	1628653.46817726
14300	1639320.79475931
14400	1649928.44845623
14500	1660741.56413156
14600	1671368.1809443
14700	1680853.33368533
14800	1692406.58445634
14900	1701315.09992831
15000	1712253.45132556
15100	1722318.06644462
15200	1733504.99083296
15300	1743299.25251372
15400	1753610.35455393
15500	1764039.0735307
15600	1774198.08983878
15700	1783850.17092937
15800	1793766.5290593
15900	1804256.55919073
16000	1814320.79322936
16100	1823826.24935753
16200	1834465.33838994
16300	1843420.69460691
16400	1854398.53339379
16500	1864035.18788358
16600	1874342.62788097
16700	1883766.46892025
16800	1894237.99578266
16900	1904090.11374503
17000	1912426.48695652
17100	1923493.41425022
17200	1932451.10085007
17300	1941855.29382991
17400	1952782.5736883
17500	1962279.07133908
17600	1971684.10935908
17700	1982168.60748268
17800	1991996.92146794
17900	2001085.97077178
18000	2011837.62383633
18100	2020986.80258661
18200	2030446.18282199
18300	2040104.57339556
18400	2050965.32929982
18500	2059684.827731
18600	2069553.53776879
18700	2079326.80292272
18800	2088927.61860382
18900	2098844.47918752
19000	2108395.83301712
19100	2117947.18684672
19200	2127138.64469538
19300	2135938.09436254
19400	2146138.12333853
19500	2154209.73614997
19600	2164460.77369484
19700	2173024.7137084
19800	2181113.77518068
19900	2191830.71137329
20000	2200253.31021314
20100	2208971.18569882
20200	2217304.30469308
20300	2227985.7080061
20400	2236894.41062935
20500	2245595.89305986
20600	2254461.26760499
20700	2263238.27562997
20800	2272300.3063032
20900	2280060.10925048
21000	2288935.70522421
21100	2297756.83174827
21200	2305685.33190239
21300	2313518.1680691
21400	2322295.05985892
21500	2330052.33989298
21600	2338082.55397339
21700	2344338.83771589
21800	2351281.89214113
21900	2355983.8882026
22000	2357967.66322036
22100	2362602.02755116
22200	2367383.32690763
22300	2373082.78147477
22400	2375004.95931374
22500	2380789.50256069
22600	2385363.02235605
22700	2388616.8941591
22800	2392063.72158469
22900	2395325.27606604
23000	2401555.52914764
23100	2405691.85027615
23200	2411268.49451215
23300	2416791.1995648
23400	2420951.37937236
23500	2425027.15497108
23600	2428096.54581319
23700	2430661.56623364
23800	2428558.57892013
23900	2427675.39565467
24000	2429236.70924871
24100	2430829.3763529
24200	2424862.32232536
24300	2422020.2620614
24400	2423561.35290119
24500	2425495.44633423
24600	2426920.5244891
24700	2426456.36476776
24800	2426920.12018815
24900	2427399.41985393
25000	2427544.86100365
