# Te	G
# K	W/(m^3K)
400	1.18144778829187E17
500	1.28584827018176E17
600	1.31755616785979E17
700	1.36358660710576E17
800	1.48637336081408E17
900	1.61176533927658E17
1000	1.75539387628907E17
1100	1.93720306277179E17
1200	2.13562661162691E17
1300	2.29681047081967E17
1400	2.43134907017006E17
1500	2.53590861200153E17
1600	2.62485024273288E17
1700	2.69740529498652E17
1800	2.75921516637052E17
1900	2.79678750541269E17
2000	2.81719663379973E17
2100	2.82872191989823E17
2200	2.83270693934566E17
2300	2.83701115865387E17
2400	2.83749558047566E17
2500	2.83392583392397E17
2600	2.83048719602365E17
2700	2.81923329204732E17
2800	2.81141057962028E17
2900	2.79729481141693E17
3000	2.78319039794844E17
3100	2.76707627507666E17
3200	2.75051709941971E17
3300	2.73736851083084E17
3400	2.71832873998513E17
3500	2.70341374070919E17
3600	2.68813867535509E17
3700	2.67339086524616E17
3800	2.65809089739331E17
3900	2.64446949144474E17
4000	2.63241313949929E17
4100	2.62042039130734E17
4200	2.60842022903679E17
4300	2.59886100444082E17
4400	2.58922441638673E17
4500	2.58016695835979E17
4600	2.57137083997157E17
4700	2.56401286114799E17
4800	2.55678604684116E17
4900	2.55033044806726E17
5000	2.54501418633501E17
5100	2.54130054164465E17
5200	2.53838594144297E17
5300	2.53568790938481E17
5400	2.53398797515227E17
5500	2.53399260829725E17
5600	2.53353139165438E17
5700	2.53384604590118E17
5800	2.53428234865999E17
5900	2.53567675782295E17
6000	2.53759114997778E17
6100	2.54021021559884E17
6200	2.54212807881696E17
6300	2.54529657406978E17
6400	2.54883693458805E17
6500	2.55300486745291E17
6600	2.55697250036489E17
6700	2.56110810257174E17
6800	2.5668247032083E17
6900	2.57327764658017E17
7000	2.5786639482814E17
7100	2.58521131929827E17
7200	2.5908920217385E17
7300	2.59797949925532E17
7400	2.60357127414634E17
7500	2.60965885810561E17
7600	2.6170122487976E17
7700	2.62324073908903E17
7800	2.6298654562414E17
7900	2.63595231075508E17
8000	2.64199214322821E17
8100	2.64870970100529E17
8200	2.65400773049794E17
8300	2.65983917868188E17
8400	2.66817229532842E17
8500	2.67442439991336E17
8600	2.68156706650966E17
8700	2.68809331545872E17
8800	2.69515257898183E17
8900	2.70007122648617E17
9000	2.70831150620405E17
9100	2.71663739236287E17
9200	2.7241924880363E17
9300	2.73126866654516E17
9400	2.73810732113191E17
9500	2.74500116163269E17
9600	2.75243875036816E17
9700	2.75761170219943E17
9800	2.76518550123048E17
9900	2.77152114985765E17
10000	2.77715524021809E17
10100	2.78293326590615E17
10200	2.78917588692948E17
10300	2.79440354416066E17
10400	2.79982804473476E17
10500	2.80560250655114E17
10600	2.81081083143525E17
10700	2.8160900729479E17
10800	2.82193139287476E17
10900	2.82709838950165E17
11000	2.83215468931343E17
11100	2.83678649923784E17
11200	2.8406144850804E17
11300	2.84734044042135E17
11400	2.85203222397658E17
11500	2.85668122265219E17
11600	2.8616462270448E17
11700	2.86578954722403E17
11800	2.87110298088277E17
11900	2.87525504033115E17
12000	2.88017521457355E17
12100	2.88369521517186E17
12200	2.88888436920238E17
12300	2.89329759034783E17
12400	2.8974397596804E17
12500	2.90091250053624E17
12600	2.90431113291368E17
12700	2.90866735774866E17
12800	2.91193218353101E17
12900	2.91496042534932E17
13000	2.91867204732286E17
13100	2.92160516257143E17
13200	2.92609532054024E17
13300	2.93146447507398E17
13400	2.93811890857966E17
13500	2.94197266148365E17
13600	2.94797161485271E17
13700	2.95208410881247E17
13800	2.95671982715358E17
13900	2.96138002690731E17
14000	2.9676727887985E17
14100	2.97354924710095E17
14200	2.97932648124284E17
14300	2.98615901188382E17
14400	2.98885156476866E17
14500	2.99742656616983E17
14600	3.00622907091224E17
14700	3.01040965725367E17
14800	3.02261556261187E17
14900	3.03043222980388E17
15000	3.0422696888906E17
15100	3.04594848616589E17
15200	3.04902543977434E17
15300	3.05315321938763E17
15400	3.05871562073141E17
15500	3.0631362890134E17
15600	3.06865054710301E17
15700	3.07066024885127E17
15800	3.0790082527371E17
15900	3.08449609743621E17
16000	3.08811789580473E17
16100	3.09867326584459E17
16200	3.10375349715087E17
16300	3.11546188297769E17
16400	3.12652475158619E17
16500	3.1372209181028E17
16600	3.1557987641151E17
16700	3.16792692290336E17
16800	3.16967961910137E17
16900	3.17136254071745E17
17000	3.17287679736841E17
17100	3.17456107819707E17
17200	3.17625972280852E17
17300	3.17689889057043E17
17400	3.18054072207435E17
17500	3.18280918524834E17
17600	3.18356173542749E17
17700	3.18808784278212E17
17800	3.19099793514359E17
17900	3.19329066324313E17
18000	3.19719092954536E17
18100	3.2005338696033E17
18200	3.2078755474327E17
18300	3.21537220254107E17
18400	3.22447762978376E17
18500	3.22434777367116E17
