# Te	Coupling parameter
# K	W/(m\+(2)K)
400	1546963.69128157
500	1965061.98622254
600	2383160.28116351
700	2801258.57610447
800	3219356.87104544
900	3637455.16598641
1000	4055553.46092737
1100	4473651.75586834
1200	4891750.05080931
1300	5309848.34575027
1400	5727946.64069124
1500	6354204.90954487
1600	7531861.85737026
1700	8548297.37031001
1800	9564732.88324976
1900	10581168.3961895
2000	11597603.9091293
2100	12614039.422069
2200	13630474.9350088
2300	14646910.4479485
2400	15663345.9608883
2500	16679781.473828
2600	17683217.500799
2700	19236159.53755
2800	20609785.3534953
2900	21906977.5374624
3000	24675125.0685238
3100	27135577.4057319
3200	32150394.0805568
3300	36212000.9378097
3400	40273607.7950626
3500	44335214.6523155
3600	48396821.5095685
3700	52458428.3668214
3800	56520035.2240743
3900	60581642.0813272
4000	64285832.1927922
4100	67705588.2004075
4200	73634736.1925756
4300	79185031.9936975
4400	83830844.7180058
4500	90067934.9326121
4600	95359098.7642716
4700	100538828.626843
4800	106281914.57996
4900	111455368.564855
5000	115971667.236458
5100	120753780.008769
5200	125397353.899463
5300	129429417.510061
5400	134075004.431572
5500	138336686.088942
5600	142178031.794804
5700	145995631.386503
5800	150328250.58826
5900	155116388.897645
6000	160081483.319655
6100	164591602.836799
6200	169494584.496332
6300	173344102.449467
6400	178328910.531459
6500	182441330.029374
6600	185500928.505575
6700	189926768.883712
6800	193737779.769877
6900	197548790.656042
7000	201359801.542207
7100	205170812.428372
7200	208981823.314537
7300	212427218.319284
7400	215807975.071454
7500	219780014.984256
7600	223233307.633915
7700	226101397.177153
7800	229478119.080073
7900	233087959.591459
8000	236426145.39028
8100	239753640.499374
8200	243081135.608468
8300	246086540.136936
8400	251355807.62718
8500	255667607.37909
8600	259989206.576472
8700	263869085.999008
8800	267085477.501217
8900	270380660.198489
9000	273675842.895761
9100	276518344.434071
9200	280068606.382637
9300	282959744.237966
9400	285427402.087613
9500	288111295.063332
9600	290613592.871635
9700	293216919.318023
9800	296189696.803452
9900	299397404.992361
10000	302284303.240879
10100	305688707.057001
10200	309222791.611848
10300	312602507.166372
10400	316233280.802909
10500	319408094.82611
10600	322216873.633319
10700	324322688.459089
10800	326458530.840942
10900	328561096.728706
11000	330943698.963336
11100	333250441.520537
11200	335554538.630792
11300	337960761.438322
11400	340657439.025357
11500	343224041.130814
11600	346276007.417135
11700	348970683.227951
11800	352067640.590232
11900	355696342.358308
12000	358969397.295798
12100	362242452.233288
12200	365414245.725015
12300	368381928.51416
12400	372817504.757084
12500	376543332.876147
12600	380269160.99521
12700	383994989.114274
12800	387720817.233337
12900	391025488.685563
13000	394808021.53865
13100	398982516.051215
13200	403069981.062993
13300	406962789.755664
13400	410451626.922018
13500	414680506.484084
13600	418430230.974869
13700	422645323.17911
13800	427030016.3294
13900	431299254.070201
14000	435568491.811001
14100	439477734.719223
14200	443950201.170124
14300	448119629.473042
14400	451943844.146011
14500	457587651.677546
14600	462320690.09093
14700	468037884.837173
14800	473034124.806043
14900	479146248.603605
15000	485529372.608126
15100	492530160.299338
15200	499278862.431957
15300	505738040.732699
15400	513036743.744773
15500	519945539.80877
15600	526854335.872767
15700	533763131.936764
15800	540671928.000761
15900	546653384.692643
16000	553050306.485541
16100	560515153.41466
16200	567480833.527849
16300	574156720.745264
16400	580832607.962679
16500	586349013.201947
16600	594865148.988089
16700	602911895.077902
16800	610663659.567378
16900	618415424.056854
17000	626167188.54633
17100	633918953.035806
17200	641670717.525282
17300	649115610.383915
17400	656741348.18992
17500	666493279.888105
17600	674988938.700729
17700	683484597.513352
17800	691980256.325975
17900	700475915.138598
18000	708055479.626324
18100	717822153.700609
18200	726124911.438568
18300	735743560.825987
18400	744715379.387183
18500	753189092.117586
18600	762811882.986937
18700	771894086.325389
18800	780829242.129877
18900	788943862.509995
19000	797614599.583909
19100	805396519.183032
19200	814733425.31762
19300	823057863.587234
19400	832645719.171749
19500	841545436.288489
19600	850251887.286798
19700	859632834.406627
19800	868776866.983711
19900	877920899.560795
20000	887064932.137879
20100	896208964.714964
20200	904756418.43483
20300	914832319.107184
20400	925126304.225375
20500	934124235.022092
20600	947608083.02357
20700	958908929.420893
20800	970209775.818217
20900	981108048.003559
21000	993332441.399322
21100	1005026183.42025
21200	1016120862.10366
21300	1028542440.46515
21400	1040414356.32006
21500	1052286272.17497
21600	1064158188.02988
21700	1076030103.88478
21800	1087902019.73969
21900	1098376376.32637
22000	1111594997.03357
22100	1123095535.60714
22200	1134152898.06745
22300	1146308978.1467
22400	1157064120.43645
22500	1167819262.7262
22600	1178574405.01595
22700	1188655194.34803
22800	1199374244.67179
22900	1209693097.92846
23000	1220011951.18513
23100	1230209462.82704
23200	1240298395.33737
23300	1249756142.98569
23400	1259691869.5435
23500	1269106782.19928
23600	1278371241.56793
23700	1287072252.08963
23800	1296459250.34924
23900	1305396170.89589
24000	1314333091.44255
24100	1321842400.23919
24200	1333396489.20672
24300	1343065070.68694
24400	1352135957.69924
24500	1362862529.30515
24600	1372835743.36159
24700	1382264041.75028
24800	1393113811.48323
24900	1404702809.39591
25000	1414569555.24311
