# Te	G
# K	W/(m^3K)
500	4.63419846665726E15
600	5.29864915593971E15
700	5.63571313947218E15
800	5.8633224266964E15
900	6.02611571238392E15
1000	6.08938417491964E15
1100	6.15551748381613E15
1200	6.22246072249823E15
1300	6.19837806034847E15
1400	6.17789308634446E15
1500	6.16632977471549E15
1600	6.17051517437858E15
1700	6.17554289658317E15
1800	6.18580594639742E15
1900	6.19360353766198E15
2000	6.21202053653804E15
2100	6.22313442473086E15
2200	6.2378622281733E15
2300	6.24574319849219E15
2400	6.25514445557096E15
2500	6.26178265811309E15
2600	6.26812700549451E15
2700	6.26948566414488E15
2800	6.26364041073916E15
2900	6.25901781936311E15
3000	6.25415354635426E15
3100	6.2484197359458E15
3200	6.24126022824105E15
3300	6.22472680150788E15
3400	6.20812384209724E15
3500	6.19531378371161E15
3600	6.17925779398741E15
3700	6.16336017965205E15
3800	6.14842116966908E15
3900	6.13704450266935E15
4000	6.12737726967366E15
4100	6.12578992665569E15
4200	6.12460765716141E15
4300	6.12573505244158E15
4400	6.14043963446932E15
4500	6.14999621875192E15
4600	6.1676770101457E15
4700	6.20957444370725E15
4800	6.23895210708946E15
4900	6.2904852236033E15
5000	6.34649207139652E15
5100	6.40036869284181E15
5200	6.46908295382938E15
5300	6.53927514894651E15
5400	6.60532103159751E15
5500	6.69664338864519E15
5600	6.79487667368146E15
5700	6.87081893679035E15
5800	6.99512495642192E15
5900	7.11380019900548E15
6000	7.22693843117279E15
6100	7.36400971212641E15
6200	7.48126509540029E15
6300	7.61926719089527E15
6400	7.77576865245483E15
6500	7.92220863329468E15
6600	8.08741534641951E15
6700	8.24856801025221E15
6800	8.40057083733912E15
6900	8.59217901305496E15
7000	8.74536830433928E15
7100	8.92947699884917E15
7200	9.14751567589051E15
7300	9.31421776787383E15
7400	9.51019360132997E15
7500	9.71946073940554E15
7600	9.92820660956506E15
7700	1.01214264178035E16
7800	1.03215601546955E16
7900	1.05219916747193E16
8000	1.07336485267594E16
8100	1.09366287240511E16
8200	1.11737590436529E16
8300	1.13822402913528E16
8400	1.16071635620761E16
8500	1.18313546462931E16
8600	1.2053486899543E16
8700	1.23137230680879E16
8800	1.25379496694335E16
8900	1.27710723504289E16
9000	1.30213629994816E16
9100	1.32677283857376E16
9200	1.35032798932293E16
9300	1.37246340903035E16
9400	1.39759102349104E16
9500	1.41959012210421E16
9600	1.44538796230835E16
9700	1.46888068563382E16
9800	1.4948853172365E16
9900	1.51722667833136E16
10000	1.54305777952456E16
10100	1.56418211336429E16
10200	1.59179341391618E16
10300	1.61684786148631E16
10400	1.64151052924651E16
10500	1.66510541767564E16
10600	1.6891215307549E16
10700	1.7145830791969E16
10800	1.73891193771671E16
10900	1.76692065988666E16
11000	1.79402337919221E16
11100	1.81870668242705E16
11200	1.84446523301086E16
11300	1.86801700932992E16
11400	1.8919041408215E16
11500	1.91944232173569E16
11600	1.94424833570861E16
11700	1.96853775580285E16
11800	1.99251800674759E16
11900	2.01563316391169E16
12000	2.04216019073587E16
12100	2.06869294222581E16
12200	2.09348862965357E16
12300	2.11593954429974E16
12400	2.14058086644294E16
12500	2.16319908191877E16
12600	2.18828914943434E16
12700	2.21788953048095E16
12800	2.24332086801805E16
12900	2.26794007785762E16
13000	2.29485874439173E16
13100	2.31778257090022E16
13200	2.34379794147855E16
13300	2.36712999705073E16
13400	2.393155232216E16
13500	2.41669659690031E16
13600	2.43999758311945E16
13700	2.45958062783715E16
13800	2.48697834581482E16
13900	2.50912947341186E16
14000	2.53042124932783E16
14100	2.5548901572898E16
14200	2.58068521108196E16
14300	2.60198940512733E16
14400	2.62597947023346E16
14500	2.6506823265985E16
14600	2.67693831846829E16
14700	2.70234868715169E16
14800	2.72493407711676E16
14900	2.75088319352822E16
15000	2.77383100161603E16
15100	2.79759596740931E16
15200	2.81911876653296E16
15300	2.84305480134802E16
15400	2.86416329543186E16
15500	2.88686978195171E16
15600	2.90823104522224E16
15700	2.93265731849645E16
15800	2.95457992811889E16
15900	2.98094089148236E16
16000	3.00494581432232E16
16100	3.02895073716229E16
16200	3.04397756164039E16
16300	3.07324088611259E16
16400	3.09626276239605E16
16500	3.12005048509144E16
16600	3.14062337607834E16
16700	3.16303932568999E16
16800	3.18009624900166E16
16900	3.21116177778475E16
17000	3.23239871043001E16
17100	3.25500087714601E16
17200	3.27633339415307E16
17300	3.29831688940626E16
17400	3.31924309717089E16
17500	3.34272319722206E16
17600	3.35896423572242E16
17700	3.38081814238588E16
17800	3.40092865088315E16
17900	3.42077061285697E16
18000	3.44206303137871E16
18100	3.45996508739637E16
18200	3.47903261973742E16
18300	3.50959493566905E16
18400	3.53096687141984E16
18500	3.54992234551572E16
18600	3.56390830917236E16
18700	3.57396408501138E16
18800	3.5865358632271E16
18900	3.59871693834763E16
19000	3.61550643248674E16
19100	3.62803084738721E16
19200	3.64931905519708E16
19300	3.65676570582414E16
19400	3.6735600248145E16
19500	3.68836723462007E16
19600	3.69721014394345E16
19700	3.71260586172058E16
19800	3.71910199516279E16
19900	3.72561422566625E16
20000	3.73236406415349E16
