# Te	G
# K	W/(m^3K)
400	2.11376381838352E16
500	2.46920962382027E16
600	2.53198944502816E16
700	2.59476926623605E16
800	2.65754908744394E16
900	2.7215725388036E16
1000	2.79811137473786E16
1100	2.84786979995807E16
1200	2.90554627941132E16
1300	2.94944693643831E16
1400	3.01502119335983E16
1500	3.16418284013908E16
1600	3.29740706015492E16
1700	3.43834187354705E16
1800	3.58251610893191E16
1900	3.73784638111319E16
2000	3.87488715991844E16
2100	4.04735896553822E16
2200	4.19325352263593E16
2300	4.37312535065636E16
2400	4.52374610910818E16
2500	4.68877947609362E16
2600	4.86428391701582E16
2700	5.03856779169181E16
2800	5.19645926047463E16
2900	5.3487718730619E16
3000	5.5169869000715E16
3100	5.65279536557921E16
3200	5.80556499788336E16
3300	5.93891789366627E16
3400	6.10587471840241E16
3500	6.23646396841142E16
3600	6.36320447645663E16
3700	6.50936482929342E16
3800	6.64345240666703E16
3900	6.78355544995057E16
4000	6.89005170639324E16
4100	7.01855593578315E16
4200	7.13817620646183E16
4300	7.25950641678334E16
4400	7.35918720255544E16
4500	7.48013832812154E16
4600	7.58593626787582E16
4700	7.69112785704402E16
4800	7.77398038952122E16
4900	7.87864462372243E16
5000	7.95952422237544E16
5100	8.04102125667572E16
5200	8.13454766151638E16
5300	8.20864323355967E16
5400	8.29382669673139E16
5500	8.36552944161213E16
5600	8.44460446843259E16
5700	8.52567125339759E16
5800	8.58662686289939E16
5900	8.65991508448294E16
6000	8.72613699407854E16
6100	8.78746935162409E16
6200	8.84186044561496E16
6300	8.9050291556477E16
6400	8.95578597384301E16
6500	9.00959119239814E16
6600	9.06541756570403E16
6700	9.11320190588766E16
6800	9.16197272846333E16
6900	9.21173369105779E16
7000	9.25189752801164E16
7100	9.30172577439609E16
7200	9.34473788190564E16
7300	9.38041486883337E16
7400	9.42720899530832E16
7500	9.46397465942281E16
7600	9.49656045276548E16
7700	9.53239686846171E16
7800	9.56167337017439E16
7900	9.5884563771047E16
8000	9.62246702946544E16
8100	9.64985863345E16
8200	9.67904660716189E16
8300	9.70735988881069E16
8400	9.7408221284141E16
8500	9.76833094816078E16
8600	9.79615545567101E16
8700	9.82472447709311E16
8800	9.8483554477374E16
8900	9.8704595122358E16
9000	9.88968208438864E16
9100	9.9065467022096E16
9200	9.92183490284477E16
9300	9.93749198090041E16
9400	9.95264340811836E16
9500	9.96508459111147E16
9600	9.97904769659982E16
9700	9.99183326174665E16
9800	1.00012729300562E17
9900	1.001346036233E17
10000	1.00233248487568E17
10100	1.00342753419391E17
10200	1.00441997235617E17
10300	1.00540974222709E17
10400	1.00624806366657E17
10500	1.00685636870469E17
10600	1.00753471638006E17
10700	1.00799961060624E17
10800	1.00827814881885E17
10900	1.00822896367772E17
11000	1.00826534510379E17
11100	1.0082923718238E17
11200	1.00832805155566E17
11300	1.00828314413041E17
11400	1.00826311458595E17
11500	1.00836509123812E17
11600	1.0084727302247E17
11700	1.00854841103033E17
11800	1.00868557299358E17
11900	1.00866132573248E17
12000	1.00864681602603E17
12100	1.00858807552392E17
12200	1.00835017845033E17
12300	1.00818918517886E17
12400	1.00767648120812E17
12500	1.00717536013958E17
12600	1.00680336118267E17
12700	1.00600412340319E17
12800	1.00493736239345E17
12900	1.00414661362918E17
13000	1.00317105588151E17
13100	1.00242133491795E17
13200	1.00176404668867E17
13300	1.00126517706865E17
13400	1.00092329389452E17
13500	1.0005165346971E17
13600	1.00017547087879E17
13700	9.99681258155858E16
13800	9.99031986234342E16
13900	9.9815252926839E16
14000	9.97256304170832E16
14100	9.95759554957605E16
14200	9.94494662022446E16
14300	9.93291842819872E16
14400	9.9116188434274E16
14500	9.89859016318384E16
14600	9.87861969646479E16
14700	9.86194601786474E16
14800	9.8478882661402E16
14900	9.83458771455427E16
15000	9.81978014383681E16
15100	9.80540656417484E16
15200	9.78520170212986E16
15300	9.77267888825719E16
15400	9.75614762094048E16
15500	9.74165811104054E16
15600	9.72788617227056E16
15700	9.71622399840097E16
15800	9.70335370069061E16
15900	9.69218145646561E16
16000	9.6806513581592E16
16100	9.66914787474764E16
16200	9.65876745233946E16
16300	9.64704304596217E16
16400	9.63026819352251E16
16500	9.61822186855763E16
16600	9.60811331672324E16
16700	9.58592896252041E16
16800	9.55594226642882E16
16900	9.5407970425932E16
17000	9.53080070804557E16
17100	9.50603672064307E16
17200	9.48668769541738E16
17300	9.48354052230839E16
17400	9.47907957426316E16
17500	9.4680131931948E16
17600	9.45786321879291E16
17700	9.446524643769E16
17800	9.43523231941037E16
17900	9.42336657125864E16
18000	9.412751086439E16
18100	9.40045740370674E16
18200	9.3918344966114E16
18300	9.37561726295478E16
18400	9.35753081624852E16
18500	9.34129169332659E16
18600	9.3232435490447E16
18700	9.30500645787971E16
18800	9.30000979798905E16
18900	9.2963596141726E16
19000	9.28450413175718E16
19100	9.28038793080882E16
19200	9.28323653265975E16
19300	9.24423293355314E16
19400	9.25095842956604E16
19500	9.24551162123181E16
19600	9.24081284424759E16
19700	9.23684102032415E16
19800	9.23317843663742E16
19900	9.22830202536205E16
20000	9.22325226004075E16
