# Te	G
# K	W/(m^3K)
500	2.38817844592159E17
600	2.45565733770277E17
700	2.54982981058939E17
800	2.68553075322892E17
900	2.79504936018678E17
1000	2.95833777482064E17
1100	3.08865608979271E17
1200	3.25452165893372E17
1300	3.38218114474527E17
1400	3.47110688411281E17
1500	3.532667807601E17
1600	3.5847806913758E17
1700	3.6221037975176E17
1800	3.64785537195444E17
1900	3.6565395171719E17
2000	3.64334552105268E17
2100	3.63289529774835E17
2200	3.62109493523492E17
2300	3.60993331043113E17
2400	3.59489423995397E17
2500	3.58288952648188E17
2600	3.56423071890641E17
2700	3.55130651474857E17
2800	3.53210493134987E17
2900	3.51943978593725E17
3000	3.50232485350505E17
3100	3.48841971839564E17
3200	3.47585807736632E17
3300	3.46175193623327E17
3400	3.4504329717713E17
3500	3.43597112214116E17
3600	3.42306455043163E17
3700	3.4119928408758E17
3800	3.4007046556121E17
3900	3.39096248548547E17
4000	3.38236351662592E17
4100	3.37448402812518E17
4200	3.36833839010325E17
4300	3.36435974976573E17
4400	3.35976753229871E17
4500	3.35629052700005E17
4600	3.35305683632094E17
4700	3.34976756453036E17
4800	3.3464343026017E17
4900	3.34649993602229E17
5000	3.34523400489454E17
5100	3.34411355579716E17
5200	3.34348882013337E17
5300	3.34265594519328E17
5400	3.33968785739195E17
5500	3.33670734302614E17
5600	3.33447847591547E17
5700	3.33313980808348E17
5800	3.3317088401875E17
5900	3.3303583181976E17
6000	3.3331342346347E17
6100	3.33795920309391E17
6200	3.3413279574848E17
6300	3.34454482617929E17
6400	3.3478127495125E17
6500	3.35150359759857E17
6600	3.35357431617325E17
6700	3.35454999911588E17
6800	3.35571539111353E17
6900	3.35628804380593E17
7000	3.35695171132724E17
7100	3.35744322115398E17
7200	3.35765646087332E17
7300	3.35793007647E17
7400	3.35955034274297E17
7500	3.36040452283738E17
7600	3.36117405550683E17
7700	3.36217383754891E17
7800	3.3629884376134E17
7900	3.36392767557547E17
8000	3.36540201811354E17
8100	3.36632363718798E17
8200	3.36717576582559E17
8300	3.36756366302279E17
8400	3.36816775074257E17
8500	3.36831647513554E17
8600	3.36875045015246E17
8700	3.36892414267381E17
8800	3.36844900807679E17
8900	3.36841509410343E17
9000	3.36827604982219E17
9100	3.36829485990615E17
9200	3.36815471874703E17
9300	3.3679477048462E17
9400	3.36769707557381E17
9500	3.36724900637984E17
9600	3.36730344624228E17
9700	3.36594446186896E17
9800	3.36493186079589E17
9900	3.36381844298584E17
10000	3.36291155714186E17
10100	3.36201031126807E17
10200	3.36104868365673E17
10300	3.35970045997445E17
10400	3.35840404438384E17
10500	3.35834220248456E17
10600	3.35893451249873E17
10700	3.35910051233129E17
10800	3.35946255137381E17
10900	3.35970030619648E17
11000	3.36000024323558E17
11100	3.36039175748204E17
11200	3.36075859326415E17
11300	3.3608860240039E17
11400	3.36051968279435E17
11500	3.35849226072772E17
11600	3.35678877510911E17
11700	3.35496623607865E17
11800	3.35202930327584E17
11900	3.34908667324346E17
12000	3.34645154929546E17
12100	3.34383268469991E17
12200	3.34158041185544E17
12300	3.33965453059145E17
12400	3.33833746995149E17
12500	3.33676551775216E17
12600	3.33415667241511E17
12700	3.33241147171955E17
12800	3.33087088800869E17
12900	3.32921258060765E17
13000	3.32758658051704E17
13100	3.32462329737903E17
13200	3.32250172458902E17
13300	3.3207659170787E17
13400	3.31887987038519E17
13500	3.3169763764957E17
13600	3.31470410857445E17
13700	3.31289004409317E17
13800	3.31071456568314E17
13900	3.31000640717836E17
14000	3.30877665127634E17
14100	3.30700776306226E17
14200	3.30585620141542E17
14300	3.30437317852956E17
14400	3.30306115167689E17
14500	3.30195728980895E17
14600	3.30093030539145E17
14700	3.29924904141159E17
14800	3.29765475613045E17
14900	3.2960604708493E17
15000	3.29467729526062E17
15100	3.29301879832446E17
15200	3.29217315539468E17
15300	3.29110065564226E17
15400	3.29166746416125E17
15500	3.29103142331797E17
15600	3.29021499113129E17
15700	3.28965933761459E17
15800	3.29023556654707E17
15900	3.29056566150233E17
16000	3.29029168757361E17
16100	3.2905813062653E17
16200	3.29095822781847E17
16300	3.29078396658122E17
16400	3.29068153506531E17
16500	3.28982925507574E17
16600	3.28922409634662E17
16700	3.28896901961975E17
16800	3.28902225131956E17
16900	3.28869796948544E17
17000	3.28825493524671E17
17100	3.28780647751855E17
17200	3.28642157934156E17
17300	3.28537898013585E17
17400	3.28483496125918E17
17500	3.28455673054367E17
17600	3.28589133586634E17
17700	3.2867662126052E17
17800	3.2929554030179E17
17900	3.29804439711265E17
18000	3.30262289424812E17
18100	3.30501899396373E17
18200	3.31136727756981E17
18300	3.31582206854193E17
18400	3.31885134304986E17
18500	3.32038027125978E17
18600	3.32350555242738E17
18700	3.33145664048695E17
18800	3.34173934422618E17
18900	3.35516033437941E17
19000	3.36190587906914E17
19100	3.38320609058266E17
19200	3.39358363627069E17
19300	3.39587825051329E17
19400	3.40016765286733E17
19500	3.40313815677517E17
19600	3.40492053569878E17
19700	3.4075314790541E17
19800	3.40941888085892E17
19900	3.41300687758213E17
20000	3.4153269448296E17
