#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   1.2877702712076777E+02   1.3458236958918084E+02   2.9853738264128101E+03  -3.6788305094611955E+00   3.1619357806116081E+04
   4.0000000000000000E+02   1.7953435491447303E+02   1.9067190699675157E+02   3.0735800443476742E+03  -3.6861967224740790E+00   4.1672255757329091E+04
   5.0000000000000000E+02   2.3000728526468330E+02   2.4836021455345198E+02   3.1125635487601426E+03  -3.6926700456149830E+00   5.2105764163531654E+04
   6.0000000000000000E+02   2.7739906197216868E+02   3.0448705546837306E+02   3.1181498763069944E+03  -3.6974832999861849E+00   6.2731448734576756E+04
   7.0000000000000000E+02   3.2099843064455786E+02   3.5822103541170094E+02   3.0892085846857904E+03  -3.7002035859691920E+00   7.3371858440358701E+04
   8.0000000000000000E+02   3.6139034694324260E+02   4.1005483297842983E+02   3.0451335343124397E+03  -3.7008451416394084E+00   8.3953131097618258E+04
   9.0000000000000000E+02   3.9911052361156464E+02   4.6064815677862669E+02   2.9875950307270705E+03  -3.6996744005135800E+00   9.4474562810600328E+04
   1.0000000000000000E+03   4.3447449616163158E+02   5.1046477537312529E+02   2.9185828554628320E+03  -3.6970152497685183E+00   1.0496187478726423E+05
   1.1000000000000000E+03   4.6817200772419301E+02   5.5978895360696708E+02   2.8605790750472402E+03  -3.6931591553803726E+00   1.1544329174048026E+05
   1.2000000000000000E+03   5.0091345130444267E+02   6.0879491604504142E+02   2.8267465895645887E+03  -3.6883443152950397E+00   1.2594129340465137E+05
   1.3000000000000000E+03   5.3159283071372420E+02   6.5759351643484206E+02   2.7743658445979449E+03  -3.6827613890154032E+00   1.3647075996887265E+05
   1.4000000000000000E+03   5.6212603019009498E+02   7.0625808967706257E+02   2.7544604417152891E+03  -3.6765652515859442E+00   1.4703937564637503E+05
   1.5000000000000000E+03   5.9070284035946304E+02   7.5483899393397826E+02   2.7165589543832907E+03  -3.6698856687579720E+00   1.5764878635313286E+05
   1.6000000000000000E+03   6.1819313925323024E+02   8.0337240260606154E+02   2.6819380235365734E+03  -3.6628351994237316E+00   1.6829596812463723E+05
   1.7000000000000000E+03   6.4471545494061957E+02   8.5188591250736351E+02   2.6510730346905116E+03  -3.6555143976210904E+00   1.7897459926028212E+05
   1.8000000000000000E+03   6.7038390320564031E+02   9.0040212310667766E+02   2.6242055520758231E+03  -3.6480148404913986E+00   1.8967634530410613E+05
   1.9000000000000000E+03   6.9497764698186188E+02   9.4894077553881505E+02   2.5968046269410033E+03  -3.6404205553202322E+00   2.0039200375388472E+05
   2.0000000000000000E+03   7.1867741425818440E+02   9.9751984283096408E+02   2.5709680732101115E+03  -3.6328083627889844E+00   2.1111246719997161E+05
   2.1000000000000000E+03   7.3793936673834332E+02   1.0461559021317325E+03   2.5047313666780938E+03  -3.6252475796927195E+00   2.2182947197487394E+05
   2.2000000000000000E+03   7.5661602838134888E+02   1.0948640867509371E+03   2.4490656973105838E+03  -3.6177994476335953E+00   2.3253611428095456E+05
   2.3000000000000000E+03   7.7420953270769519E+02   1.1436578661672863E+03   2.3966296284286786E+03  -3.6105165721586006E+00   2.4322713369035034E+05
   2.4000000000000000E+03   7.9155766723904571E+02   1.1925488300771308E+03   2.3540946970586228E+03  -3.6034425694344572E+00   2.5389898698603699E+05
   2.5000000000000000E+03   8.0725168482074423E+02   1.2415465721633348E+03   2.3077420236164576E+03  -3.5966120292083841E+00   2.6454975388579402E+05
   2.6000000000000000E+03   8.2204012082929796E+02   1.2906586993374233E+03   2.2640443247691769E+03  -3.5900508230804569E+00   2.7517892515604105E+05
   2.7000000000000000E+03   8.3557493767241033E+02   1.3398909452663688E+03   2.2199955508455400E+03  -3.5837767248387680E+00   2.8578712725201459E+05
   2.8000000000000000E+03   8.4813964186398209E+02   1.3892473456069599E+03   2.1775253577303483E+03  -3.5778002692115378E+00   2.9637582753852790E+05
   2.9000000000000000E+03   8.5953589407344941E+02   1.4387304316245470E+03   2.1351037824109080E+03  -3.5721257585495678E+00   3.0694705613761517E+05
   3.0000000000000000E+03   8.7142437880808143E+02   1.4883414098482378E+03   2.1023523800997514E+03  -3.5667523277970798E+00   3.1750316456413025E+05
