#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   8.9911860417249603E+00   9.0089879471964114E+00   4.5501582294547215E+03   3.9426050475080645E+00   1.6211355450070123E+04
   4.0000000000000000E+02   1.2849823094779495E+01   1.2888465702559936E+01   4.2858004092792025E+03   3.9158735504837674E+00   2.1079643101554342E+04
   5.0000000000000000E+02   1.7740790346448698E+01   1.7814647541160923E+01   4.2791488135319796E+03   3.8913737303317886E+00   2.9787052756862526E+04
   6.0000000000000000E+02   2.2245419982520261E+01   2.2359519890208141E+01   4.3593103679437381E+03   3.8727475590158980E+00   3.8823251825674779E+04
   7.0000000000000000E+02   2.6160310178153175E+01   2.6317752530077879E+01   4.3729057713007505E+03   3.8608568473153371E+00   4.6361341552353093E+04
   8.0000000000000000E+02   2.9730589100214242E+01   2.9937619190606366E+01   4.2991965714200596E+03   3.8537353793378850E+00   5.3032768414088350E+04
   9.0000000000000000E+02   3.3159138711887692E+01   3.3423061636690726E+01   4.1992560434609122E+03   3.8495483269294262E+00   5.9421706352286303E+04
   1.0000000000000000E+03   3.6544566069257577E+01   3.6873321786615122E+01   4.0988474818170898E+03   3.8472119752005929E+00   6.5757373128079984E+04
   1.1000000000000000E+03   3.9919579790035108E+01   4.0324257661759198E+01   3.9777994639154240E+03   3.8461168557736523E+00   7.2116905656735675E+04
   1.2000000000000000E+03   4.3293390253822935E+01   4.3783914816545874E+01   3.8643408608745399E+03   3.8459004472030291E+00   7.8523033384897906E+04
   1.3000000000000000E+03   4.6663358649936129E+01   4.7250909978946666E+01   3.7526698520052323E+03   3.8463301610578187E+00   8.4981435198659936E+04
   1.4000000000000000E+03   5.0027306721527928E+01   5.0722466831799416E+01   3.6502503069054883E+03   3.8472459747949626E+00   9.1496428126780156E+04
   1.5000000000000000E+03   5.3383473844846840E+01   5.4197508874358171E+01   3.5542098221338242E+03   3.8485312812841856E+00   9.8078203974921358E+04
   1.6000000000000000E+03   5.6733523227674397E+01   5.7677603090445409E+01   3.4660771441982160E+03   3.8500972503560349E+00   1.0474607335992611E+05
   1.7000000000000000E+03   6.0081523973524774E+01   6.1167017434527160E+01   3.3855640373806614E+03   3.8518739953670145E+00   1.1152942987421282E+05
   1.8000000000000000E+03   6.3433897375007575E+01   6.4672422926921584E+01   3.3123449351525983E+03   3.8538053690577518E+00   1.1846726063668146E+05
   1.9000000000000000E+03   6.6798967226624299E+01   6.8202456049458547E+01   3.2460918479014863E+03   3.8558457939237516E+00   1.2560672502395388E+05
   2.0000000000000000E+03   7.0186511852158887E+01   7.1767232095224003E+01   3.1865801100141734E+03   3.8579582729608712E+00   1.3300118958721354E+05
   2.1000000000000000E+03   7.3583237014225460E+01   7.5377853178774629E+01   3.0906589083747826E+03   3.8601130975661846E+00   1.4070801687435168E+05
   2.2000000000000000E+03   7.7019878800696091E+01   7.9045936546342716E+01   3.0049037178571512E+03   3.8622869633790953E+00   1.4878632253399768E+05
   2.3000000000000000E+03   8.0507548712091861E+01   8.2783180382633219E+01   2.9287125036413468E+03   3.8644623187958600E+00   1.5729484336798484E+05
   2.4000000000000000E+03   8.4057111921045774E+01   8.6600978840797339E+01   2.8615601368030439E+03   3.8666268378099349E+00   1.6629000382835575E+05
   2.5000000000000000E+03   8.7678881820782877E+01   9.0510093682744838E+01   2.8029777333929433E+03   3.8687729503411750E+00   1.7582422215628688E+05
   2.6000000000000000E+03   9.1382368992532676E+01   9.4520386324050236E+01   2.7525331787138075E+03   3.8708973934850670E+00   1.8594447974984199E+05
   2.7000000000000000E+03   9.5176061266848365E+01   9.8640611152454397E+01   2.7097964123564975E+03   3.8730007632149319E+00   1.9669115690523473E+05
   2.8000000000000000E+03   9.9067391337979601E+01   1.0287826869446488E+02   2.6744187103224476E+03   3.8750870587950765E+00   2.0809713527751312E+05
   2.9000000000000000E+03   1.0306247775890030E+02   1.0723951543185852E+02   2.6459828805527072E+03   3.8771632200696264E+00   2.2018716522941549E+05
   3.0000000000000000E+03   1.0716600796445030E+02   1.1172912573933068E+02   2.6239875825155632E+03   3.8792386612509269E+00   2.3297749386509776E+05
   3.1000000000000000E+03   1.1136204260579898E+02   1.1635050042322071E+02   2.5974018142612140E+03   3.8813248082083747E+00   2.4647574622688402E+05
   3.2000000000000000E+03   1.1566083843584759E+02   1.2110571567422544E+02   2.5725444304833240E+03   3.8834346452700648E+00   2.6068104833463786E+05
   3.3000000000000000E+03   1.2008646783649129E+02   1.2599560577577043E+02   2.5605033113133150E+03   3.8855822803500644E+00   2.7558438289928401E+05
   3.4000000000000000E+03   1.2461858323264066E+02   1.3101987274704152E+02   2.5506596569840376E+03   3.8877825334665466E+00   2.9116914783620229E+05
   3.5000000000000000E+03   1.2927792518817014E+02   1.3617721608009447E+02   2.5516691828927210E+03   3.8900505549927122E+00   3.0741189252937259E+05
   3.6000000000000000E+03   1.3403398832350359E+02   1.4146547593303509E+02   2.5514651905047986E+03   3.8924014784998655E+00   3.2428320770604757E+05
   3.7000000000000000E+03   1.3890680344550785E+02   1.4688178354027792E+02   2.5583611236014326E+03   3.8948501113223934E+00   3.4174871748507960E+05
   3.8000000000000000E+03   1.4388797709974250E+02   1.5242271314357953E+02   2.5697099178739090E+03   3.8974106650684432E+00   3.5977014457300963E+05
   3.9000000000000000E+03   1.4898216301450586E+02   1.5808443040426110E+02   2.5874608349839168E+03   3.9000965277235573E+00   3.7830639009121072E+05
   4.0000000000000000E+03   1.5416388979426836E+02   1.6386283302969957E+02   2.6045859965736795E+03   3.9029200777590418E+00   3.9731463044340181E+05
   4.1000000000000000E+03   1.5942923877741495E+02   1.6975368022618130E+02   2.6213234054766840E+03   3.9058925385978531E+00   4.1675133008830593E+05
   4.2000000000000000E+03   1.6478238822511270E+02   1.7575270839797949E+02   2.6399367174789299E+03   3.9090238724496431E+00   4.3657319850906654E+05
   4.3000000000000000E+03   1.7022087888168255E+02   1.8185573136919882E+02   2.6605960373412872E+03   3.9123227112911820E+00   4.5673803888324095E+05
   4.4000000000000000E+03   1.7574132472596537E+02   1.8805872426657086E+02   2.6831710069914316E+03   3.9157963207917019E+00   4.7720547051901650E+05
   4.5000000000000000E+03   1.8133930519832072E+02   1.9435789082127749E+02   2.7072622097435478E+03   3.9194505948357805E+00   4.9793751875486411E+05
   4.6000000000000000E+03   1.8699123455904447E+02   2.0074971455658704E+02   2.7283854734692181E+03   3.9232900759080289E+00   5.1889907487959979E+05
   4.7000000000000000E+03   1.9275092466320530E+02   2.0723099476042717E+02   2.7585478240614166E+03   3.9273179980038044E+00   5.4005821334086009E+05
   4.8000000000000000E+03   1.9850601346874666E+02   2.1379886861196661E+02   2.7751757729233213E+03   3.9315363469595841E+00   5.6138639619626978E+05
   4.9000000000000000E+03   2.0440128955714889E+02   2.2045082096958629E+02   2.8075855258426163E+03   3.9359459356497086E+00   5.8285854752194346E+05
   5.0000000000000000E+03   2.1034191796794602E+02   2.2718468361431866E+02   2.8372099385393039E+03   3.9405464891077657E+00   6.0445305109896231E+05
   5.1000000000000000E+03   2.1635531321258824E+02   2.3399862569317435E+02   2.8694637704155275E+03   3.9453367369370596E+00   6.2615161936455418E+05
   5.2000000000000000E+03   2.2239574810901729E+02   2.4089113712310177E+02   2.8965686859858656E+03   3.9503145098803580E+00   6.4793916745345329E+05
   5.3000000000000000E+03   2.2849101901423100E+02   2.4786100663289912E+02   2.9238022808472178E+03   3.9554768377074407E+00   6.6980355413714680E+05
   5.4000000000000000E+03   2.3463944502322337E+02   2.5490729594937133E+02   2.9510433381354374E+03   3.9608200465672887E+00   6.9173534415861208E+05
   5.5000000000000000E+03   2.4083988649993137E+02   2.6202931149853021E+02   2.9782360609187926E+03   3.9663398537870465E+00   7.1372751766042493E+05
   5.6000000000000000E+03   2.4709149558184700E+02   2.6922657478052679E+02   3.0053471422350303E+03   3.9720314589646928E+00   7.3577518522519816E+05
   5.7000000000000000E+03   2.5339312623489383E+02   2.7649879240929170E+02   3.0322819034924069E+03   3.9778896302023159E+00   7.5787529920972639E+05
   5.8000000000000000E+03   2.5974446629203686E+02   2.8384582663656016E+02   3.0590548290644037E+03   3.9839087844505032E+00   7.8002633943390776E+05
   5.9000000000000000E+03   2.6611606653790773E+02   2.9126766694157391E+02   3.0817524369092139E+03   3.9900830622932744E+00   8.0222807016383484E+05
   6.0000000000000000E+03   2.7256853604637536E+02   2.9876440321844581E+02   3.1086497527687861E+03   3.9964063959793177E+00   8.2448125853581401E+05
   6.1000000000000000E+03   2.7908926494535922E+02   3.0633620085419432E+02   3.1377893429414353E+03   4.0028725713583890E+00   8.4678745292044315E+05
   6.2000000000000000E+03   2.8562129954364514E+02   3.1398327794165027E+02   3.1619906983278506E+03   4.0094752833935035E+00   8.6914874170340155E+05
   6.3000000000000000E+03   2.9220083311060540E+02   3.2170588472903097E+02   3.1859875640991477E+03   4.0162081857429861E+00   8.9156759933803696E+05
   6.4000000000000000E+03   2.9882442603086872E+02   3.2950428537556110E+02   3.2093996209633201E+03   4.0230649342065963E+00   9.1404667678489070E+05
   6.5000000000000000E+03   3.0544517900767715E+02   3.3737874194074726E+02   3.2270345292024467E+03   4.0300392251474983E+00   9.3658868249379436E+05
   6.6000000000000000E+03   3.1221571867707900E+02   3.4532950058715227E+02   3.2559644953576385E+03   4.0371248283959975E+00   9.5919625413496315E+05
   6.7000000000000000E+03   3.1892173259547963E+02   3.5335677985245826E+02   3.2726296442664816E+03   4.0443156155821498E+00   9.8187183630174748E+05
   6.8000000000000000E+03   3.2576503815557015E+02   3.6146076086992116E+02   3.2987503712648177E+03   4.0516055840620027E+00   1.0046176203660478E+06
   6.9000000000000000E+03   3.3265095944932830E+02   3.6964157937700355E+02   3.3241299084076513E+03   4.0589888769728129E+00   1.0274354578236716E+06
   7.0000000000000000E+03   3.3955567046230436E+02   3.7789931936764862E+02   3.3465217948322538E+03   4.0664597995407554E+00   1.0503268351132853E+06
   7.1000000000000000E+03   3.4649920901676307E+02   3.8623400821432062E+02   3.3680748624460766E+03   4.0740128321765470E+00   1.0732927995426815E+06
   7.2000000000000000E+03   3.5343429254859939E+02   3.9464561308148615E+02   3.3845383080010020E+03   4.0816426409766153E+00   1.0963339732511451E+06
   7.3000000000000000E+03   3.6047347887031145E+02   4.0313403852348625E+02   3.4064046627382800E+03   4.0893440851357026E+00   1.1194505282500621E+06
   7.4000000000000000E+03   3.6761570780519645E+02   4.1169912506547342E+02   3.4331972126875298E+03   4.0971122224239824E+00   1.1426421493492702E+06
   7.5000000000000000E+03   3.7473477082735104E+02   4.2034064864932202E+02   3.4538586726893168E+03   4.1049423126462310E+00   1.1659081052603542E+06
   7.6000000000000000E+03   3.8189643136076540E+02   4.2905832082999831E+02   3.4743273311285316E+03   4.1128298190832080E+00   1.1892471794672776E+06
   7.7000000000000000E+03   3.8910176021097755E+02   4.3785178955798847E+02   3.4947446044765461E+03   4.1207704089034429E+00   1.2126578008816000E+06
   7.8000000000000000E+03   3.9634477636482183E+02   4.4672064051962252E+02   3.5146869504853375E+03   4.1287599514336319E+00   1.2361378935508768E+06
   7.9000000000000000E+03   4.0362933588929286E+02   4.5566439882889966E+02   3.5345305318677970E+03   4.1367945163055060E+00   1.2596850877781829E+06
   8.0000000000000000E+03   4.1095259260938559E+02   4.6468253109404992E+02   3.5541170579954396E+03   4.1448703698318505E+00   1.2832966144365172E+06
   8.1000000000000000E+03   4.1830628473034056E+02   4.7377444771329198E+02   3.5729113488764592E+03   4.1529839709296219E+00   1.3069694083633439E+06
   8.2000000000000000E+03   4.2569814039626880E+02   4.8293950535927559E+02   3.5915714009999792E+03   4.1611319663017170E+00   1.3307000873983295E+06
   8.3000000000000000E+03   4.3312329994906321E+02   4.9217700959010426E+02   3.6098211585437261E+03   4.1693111850834494E+00   1.3544850092737796E+06
   8.4000000000000000E+03   4.4058739344738342E+02   5.0148621753717822E+02   3.6281243314108347E+03   4.1775186330771765E+00   1.3783202932688165E+06
   8.5000000000000000E+03   4.4801983295582608E+02   5.1086634062930045E+02   3.6418611163034561E+03   4.1857514866575052E+00   1.4022019068955218E+06
   8.6000000000000000E+03   4.5563292820223865E+02   5.2031654733074481E+02   3.6651219465842719E+03   4.1940070862234791E+00   1.4261255756099850E+06
   8.7000000000000000E+03   4.6319204410319310E+02   5.2983596583010262E+02   3.6824934321525784E+03   4.2022829298566924E+00   1.4500869342730001E+06
