#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   5.4658082939525009E+01   5.5007667444613901E+01   8.6005346510795935E+03  -4.2627553974749723E+00   6.2842086191292561E+04
   4.0000000000000000E+02   7.4112846722713201E+01   7.4739738602126337E+01   8.8359332334955179E+03  -4.2637450925501037E+00   8.4521739336457278E+04
   5.0000000000000000E+02   9.3329959724242102E+01   9.4323435119573205E+01   8.8610170338722946E+03  -4.2649906691294168E+00   1.0508247479681106E+05
   6.0000000000000000E+02   1.1225316374108077E+02   1.1370549252159881E+02   8.7885067358745564E+03  -4.2664726926359684E+00   1.2509483605224089E+05
   7.0000000000000000E+02   1.3101057171205434E+02   1.3301978068632289E+02   8.6735614562301071E+03  -4.2681492338496341E+00   1.4498534709006216E+05
   8.0000000000000000E+02   1.4981830656471354E+02   1.5248593925419061E+02   8.5638421226840437E+03  -4.2699422491859282E+00   1.6499847219797320E+05
   9.0000000000000000E+02   1.6885874433136425E+02   1.7230562963896148E+02   8.4410444983276884E+03  -4.2717567277705628E+00   1.8526557509361467E+05
   1.0000000000000000E+03   1.8825863579784348E+02   1.9261694759794852E+02   8.3201490507082490E+03  -4.2734988869879373E+00   2.0585766457808812E+05
   1.1000000000000000E+03   2.0807682465357695E+02   2.1349056281268059E+02   8.2055018358927446E+03  -4.2750900154646780E+00   2.2681503185852710E+05
   1.2000000000000000E+03   2.2832131747706714E+02   2.3494597534274220E+02   8.0975011410227980E+03  -4.2764751181033702E+00   2.4816318880815830E+05
   1.3000000000000000E+03   2.4897175890394465E+02   2.5697312726399099E+02   7.9960137575258968E+03  -4.2776259001503671E+00   2.6992170211324451E+05
   1.4000000000000000E+03   2.6999795267169759E+02   2.7955124727473947E+02   7.9007575467175629E+03  -4.2785387143555491E+00   2.9210910857998685E+05
   1.5000000000000000E+03   2.9137234142538165E+02   3.0266182577319051E+02   7.8114537492344652E+03  -4.2792291591750722E+00   3.1474539447079302E+05
   1.6000000000000000E+03   3.1307660101681876E+02   3.2629569831533917E+02   7.7278762572093165E+03  -4.2797253711605387E+00   3.3785288356677967E+05
   1.7000000000000000E+03   3.3510379155344640E+02   3.5045557847682591E+02   7.6498582024865609E+03  -4.2800616819637431E+00   3.6145613546229521E+05
   1.8000000000000000E+03   3.5745769116462100E+02   3.7515562538134037E+02   7.5772834294720324E+03  -4.2802735956269764E+00   3.8558129835049249E+05
   1.9000000000000000E+03   3.8015062706369162E+02   4.0041935989332001E+02   7.5100733741665335E+03  -4.2803943744605739E+00   4.1025519808682671E+05
