#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   1.2098840863862151E+02   1.2222221353880012E+02   1.1985258864029791E+04   2.9052500934891090E+00   8.0647504953473137E+04
   4.0000000000000000E+02   1.6504374129053107E+02   1.6733348456058630E+02   1.2061327877336285E+04   2.9131814188226657E+00   1.0789108876309874E+05
   5.0000000000000000E+02   2.0978973970228185E+02   2.1349850689832161E+02   1.2076734349044938E+04   2.9213688693693678E+00   1.3507125921372432E+05
   6.0000000000000000E+02   2.5444300979872975E+02   2.5996764591113481E+02   1.1973087264044847E+04   2.9289061317202818E+00   1.6278915399818419E+05
   7.0000000000000000E+02   2.9872720382217199E+02   3.0646262492023635E+02   1.1835001851590685E+04   2.9352082902556726E+00   1.9131164387689030E+05
   8.0000000000000000E+02   3.4269689378250001E+02   3.5304194865855362E+02   1.1695093030416119E+04   2.9401299143026605E+00   2.2060893028624525E+05
   9.0000000000000000E+02   3.8646145695187965E+02   3.9982335570335323E+02   1.1563949064609364E+04   2.9438262092242051E+00   2.5053347694130984E+05
   1.0000000000000000E+03   4.2998082667043110E+02   4.4685311388340489E+02   1.1387802310530835E+04   2.9465562078984608E+00   2.8093186945815041E+05
   1.1000000000000000E+03   4.7333765858983583E+02   4.9409934121423294E+02   1.1264781834507829E+04   2.9485682353241920E+00   3.1167788558413327E+05
   1.2000000000000000E+03   5.1641258067822923E+02   5.4148348017222827E+02   1.1153524087051639E+04   2.9500619938148902E+00   3.4267356750628981E+05
   1.3000000000000000E+03   5.5893913703226997E+02   5.8890898536206544E+02   1.0983181377717312E+04   2.9511868082809340E+00   3.7384321045758447E+05
   1.4000000000000000E+03   6.0094615286992791E+02   6.3627931099429463E+02   1.0821834910620601E+04   2.9520510646521556E+00   4.0512728808227176E+05
   1.5000000000000000E+03   6.4240054774239911E+02   6.8350742822345876E+02   1.0681558443216347E+04   2.9527328233773704E+00   4.3647772464754072E+05
