#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   3.0090361532867497E+01   3.1918631407966686E+01   5.2532898549671131E+02   3.3903610529379735E+00   2.8491432400698734E+04
   4.0000000000000000E+02   4.3927036446044745E+01   4.6462818375135605E+01   8.0486965094915774E+02   3.3881234360982697E+00   3.8937318903275518E+04
   5.0000000000000000E+02   5.7038199461256028E+01   5.9608081431159363E+01   1.3229936930921203E+03   3.3864786407923702E+00   4.9136940676907754E+04
   6.0000000000000000E+02   6.9551785095787139E+01   7.1668117799542699E+01   2.3553222603269228E+03   3.3854871407297096E+00   5.9000580438359561E+04
   7.0000000000000000E+02   8.1686183149771267E+01   8.3467519030214916E+01   3.8275448899962898E+03   3.3851034966369511E+00   6.8755046390877906E+04
   8.0000000000000000E+02   9.3946751285778006E+01   9.5584341872401936E+01   5.4835674228039506E+03   3.3852479014157457E+00   7.8681120186361732E+04
   9.0000000000000000E+02   1.0667529090021948E+02   1.0832842236653391E+02   6.9903490461500487E+03   3.3858387771519567E+00   8.9006883992453382E+04
   1.0000000000000000E+03   1.2007863458007205E+02   1.2183436143101206E+02   8.3325625268749118E+03   3.3868047046747098E+00   9.9885050902001458E+04
   1.1000000000000000E+03   1.3419144005306308E+02   1.3613840684080708E+02   9.3831127348946993E+03   3.3880866713725921E+00   1.1140239744617912E+05
   1.2000000000000000E+03   1.4902912106311661E+02   1.5122947921993929E+02   1.0242694489121150E+04   3.3896366505164126E+00   1.2359857668792528E+05
   1.3000000000000000E+03   1.6456360650114556E+02   1.6708011525594537E+02   1.0925972853741436E+04   3.3914152729514089E+00   1.3648481628883560E+05
   1.4000000000000000E+03   1.8081609013337277E+02   1.8366361983201145E+02   1.1662507911205728E+04   3.3933896265261572E+00   1.5005891251994827E+05
   1.5000000000000000E+03   1.9768481988070326E+02   2.0096247498967998E+02   1.2120625676054799E+04   3.3955314941133459E+00   1.6431557126697182E+05
