#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   3.0000000000000000E+02   7.5384883743726923E-06   8.1780404310095809E-06   9.6395691444579301E-05   4.0794138836213545E-01   2.3992815939283707E-02
   4.0000000000000000E+02   4.7117305509900188E-04   4.8588344610618113E-04   1.5562821383344028E-02   4.1266907250993612E-01   1.0157086004517133E+00
   5.0000000000000000E+02   9.3023848683640286E-03   9.5346790731396583E-03   3.8182293191666755E-01   4.1727972203927954E-01   1.1798172516071894E+01
   6.0000000000000000E+02   8.0200512634891891E-02   8.2193639905832616E-02   3.3073512925565081E+00   4.2141387347918868E-01   7.3781183451313282E+01
   7.0000000000000000E+02   3.8023282017803750E-01   3.8996803768206362E-01   1.5231159107212912E+01   4.2437547830685729E-01   3.0751664186728442E+02
   8.0000000000000000E+02   1.1996204358564515E+00   1.2308498736549351E+00   4.7280795492882227E+01   4.2534605781181611E-01   9.3395875588300635E+02
   9.0000000000000000E+02   2.8762167016461517E+00   2.9533126649157015E+00   1.1017914365133288E+02   4.2374992385025134E-01   2.2131843291267560E+03
   1.0000000000000000E+03   5.7239169090267294E+00   5.8808276372044430E+00   2.1452560409726843E+02   4.1947204755883144E-01   4.3497146543229837E+03
   1.1000000000000000E+03   9.9888736357202923E+00   1.0272017503935277E+01   3.6238074120259751E+02   4.1278991894229977E-01   7.4547283450335826E+03
   1.2000000000000000E+03   1.5832356858133211E+01   1.6300104723916395E+01   5.5172688897657304E+02   4.0416261415381466E-01   1.1566010409420311E+04
   1.3000000000000000E+03   2.3340138267546052E+01   2.4048728874632129E+01   7.9213674508171266E+02   3.9405983721120452E-01   1.6679077929817693E+04
   1.4000000000000000E+03   3.2502101605757531E+01   3.3524970566858016E+01   1.0652703729730270E+03   3.8288477001386567E-01   2.2768539677271066E+04
   1.5000000000000000E+03   4.3257169123537174E+01   4.4682481168442791E+01   1.3560803416143096E+03   3.7096063302984694E-01   2.9800795762311634E+04
   1.6000000000000000E+03   5.5550334163228776E+01   5.7445649415407516E+01   1.6836908886694423E+03   3.5854300743958328E-01   3.7741784269519354E+04
   1.7000000000000000E+03                      NaN   7.1728973651746571E+01                      NaN   3.4583675186553403E-01   4.6561246709718114E+04
   1.8000000000000000E+03   8.4329229410019039E+01   8.7449537487540738E+01   2.3634051271129997E+03   3.3300966650048369E-01   5.6234045958477953E+04
   1.9000000000000000E+03   1.0063468230180051E+02   1.0453292959164108E+02   2.6985558835497850E+03   3.2020143171695387E-01   6.6739121542051915E+04
   2.0000000000000000E+03   1.1811623130637781E+02   1.2291413135648989E+02   3.0259392272639175E+03   3.0752865636572063E-01   7.8056956538828919E+04
   2.1000000000000000E+03   1.3673063254305470E+02   1.4253523321836892E+02   3.3574975588763282E+03   2.9508741354262602E-01   9.0166517898903912E+04
   2.2000000000000000E+03   1.5639103738448659E+02   1.6334168458961153E+02   3.6752225724050140E+03   2.8295454630753442E-01   1.0304247244379375E+05
   2.3000000000000000E+03   1.7710822308842307E+02   1.8527837557283561E+02   4.0163661494714297E+03   2.7118868280742653E-01   1.1665325228858390E+05
   2.4000000000000000E+03   1.9871187715203104E+02   2.0828636989800700E+02   4.3228374229026986E+03   2.5983151514938463E-01   1.3096014027929089E+05
   2.5000000000000000E+03   2.2108481132170763E+02   2.3230067608977632E+02   4.5790629795598916E+03   2.4890954729310102E-01   1.4591732777616056E+05
   2.6000000000000000E+03   2.4436029060214292E+02   2.5724912123245599E+02   4.8772050641790556E+03   2.3843626046888569E-01   1.6147268323980682E+05
   2.7000000000000000E+03   2.6831691660724277E+02   2.8305219572985249E+02   5.1541400583725745E+03   2.2841451024029452E-01   1.7756894839746499E+05
   2.8000000000000000E+03   2.9300108257401587E+02   3.0962364724323191E+02   5.4576454138145182E+03   2.1883893251541514E-01   1.9414509374158291E+05
   2.9000000000000000E+03   3.1810230931396575E+02   3.3687158625041485E+02   5.7093104807045884E+03   2.0969817082050279E-01   2.1113766425872236E+05
   3.0000000000000000E+03   3.4359979971127166E+02   3.6469989178632727E+02   5.9388750213391731E+03   2.0097680434308532E-01   2.2848198875285324E+05
   3.1000000000000000E+03   3.6931457571659473E+02   3.9300974766541873E+02   6.1254768914535707E+03   1.9265692034444754E-01   2.4611322504073850E+05
   3.2000000000000000E+03   3.9531017373876892E+02   4.2170118535999069E+02   6.3166494427387715E+03   1.8471933258993328E-01   2.6396720988538332E+05
